Inputs,,,,Outputs,,,,
Date,G,v,Ta,P_PV_TE,N_PV_TE,,,
dd/mm/yy,W/m2,m/s,K,W,%,,,
7/30/2019,784.0565,3.24,297.21,22.01095345,13.43799198,,,
7/31/2019,829.9834,1.25,294.85,24.18189416,13.50595055,,,
8/1/2019,819.122,2.44,293.31,23.3430342,13.48189244,,,
8/2/2019,805.4524,1.35,292.86,23.42940446,13.48927524,,,
8/3/2019,874.5918,2.48,293.75,24.87924484,13.51423194,,,
8/4/2019,869.3746,2.52,293.74,24.71915511,13.51139829,,,
8/5/2019,829.3005,2.05,294.42,23.80752014,13.4949787,,,
8/6/2019,842.6124,3.61,295.82,23.5196025,13.48070657,,,
8/7/2019,845.3968,2.58,293.87,24.02855338,13.49760019,,,
8/8/2019,840.1735,4.75,294.16,22.97219952,13.45902337,,,
8/9/2019,860.0734,0.94,295.88,25.16548788,13.52272525,,,
8/10/2019,844.9327,4.95,296.56,23.03781202,13.46002373,,,
8/11/2019,853.791,3.7,296.78,23.79902634,13.48737729,,,
8/12/2019,845.9233,3.27,294.21,23.7485986,13.48804578,,,
8/13/2019,833.0134,5.02,291.9,22.65043316,13.44724386,,,
8/14/2019,822.0987,3.58,290.62,22.92804284,13.46420513,,,
8/15/2019,795.7554,4.61,291.57,21.76110782,13.41963252,,,
8/16/2019,801.9393,3.47,292.37,22.40751312,13.44913121,,,
8/17/2019,768.6338,4.69,293.9,20.9666392,13.38890818,,,
8/18/2019,778.9036,4.08,294.36,21.50572776,13.41427279,,,
8/19/2019,813.7078,3.07,292.94,22.91558409,13.46687258,,,
8/20/2019,781.8453,1.46,293.37,22.69409243,13.46952054,,,
8/21/2019,769.1365,2.47,292.18,21.8774152,13.43813993,,,
8/22/2019,760.9649,2.64,294.04,21.57351773,13.42667069,,,
8/23/2019,778.7528,2.26,294.91,22.25967221,13.45202018,,,
8/24/2019,768.447,4.01,296.36,21.24230458,13.40504088,,,
8/25/2019,715.4138,4.71,297.83,19.45523835,13.32402192,,,
8/26/2019,669.3778,3.43,297.97,18.57672972,13.29246561,,,
8/27/2019,645.8661,3.64,299.03,17.80589932,13.2495302,,,
8/28/2019,667.3176,2.94,298.86,18.70106169,13.30322294,,,
8/29/2019,638.1432,2.36,297.73,18.03447119,13.27419393,,,
8/30/2019,650.0178,1.14,297.9,18.86779395,13.32682396,,,
8/31/2019,667.4141,4.1,300.19,18.28798993,13.27153247,,,
9/1/2019,667.6422,3.35,297.03,18.55005125,13.2917248,,,
9/2/2019,721.2968,4.04,290.9,19.83572891,13.34609193,,,
9/3/2019,696.9947,4.15,290.16,19.08420203,13.31020307,,,
9/4/2019,692.6752,3.42,292.74,19.24359132,13.32450705,,,
9/5/2019,691.7902,5.94,290.81,18.29982126,13.25280939,,,
9/6/2019,701.0439,2.82,287.99,19.70078469,13.34988965,,,
9/7/2019,667.7612,1.13,288.15,19.38402234,13.34986673,,,
9/8/2019,652.8804,1.61,288.86,18.73819034,13.31591375,,,
9/9/2019,589.5644,3.09,287.09,16.23931673,13.15835498,,,
9/10/2019,645.7169,6.59,287.96,16.73827554,13.15091757,,,
9/11/2019,641.2747,3.89,289.21,17.52930295,13.22981973,,,
9/12/2019,635.4111,4.16,290.46,17.26538737,13.2116017,,,
9/13/2019,621.4896,4.24,289.67,16.81756372,13.18304069,,,
9/14/2019,626.9372,1.48,287.58,17.99065458,13.27930943,,,
9/15/2019,607.0077,5.21,289.76,16.06190328,13.12186649,,,
9/16/2019,573.9515,4.42,287.15,15.31398322,13.07745957,,,
9/17/2019,585.2463,7.93,284.59,14.58669688,12.97553864,,,
9/18/2019,601.2955,6.45,284.54,15.46973881,13.06267739,,,
9/19/2019,592.2735,4.19,283.97,15.92593785,13.12352355,,,
9/20/2019,552.0109,3.29,284.87,15.00564999,13.06846102,,,
9/21/2019,564.9407,1.75,287.63,15.95853762,13.15540022,,,
9/22/2019,572.3356,3.48,288.89,15.58540188,13.10917609,,,
9/23/2019,555.0471,3.5,289.52,15.0518847,13.0701114,,,
9/24/2019,512.8889,1.12,289.17,14.53535648,13.06145356,,,
9/25/2019,505.1793,1.54,287.63,14.14219049,13.02544237,,,
9/26/2019,509.0069,2.72,288.49,13.883301,12.98926208,,,
9/27/2019,496.533,3.38,287.85,13.29552261,12.93068293,,,
9/28/2019,491.4615,5.58,287.73,12.51785283,12.82600843,,,
9/29/2019,468.9653,6.92,288.06,11.52382687,12.70313025,,,
9/30/2019,488.135,9.52,287.39,11.49031186,12.65830824,,,
10/1/2019,467.82,4.6,286.32,12.05872715,12.79474744,,,
10/2/2019,480.1478,3.68,283.23,12.67976903,12.86914305,,,
10/3/2019,470.0393,3.76,282.65,12.34120196,12.83505454,,,
10/4/2019,446.8315,2.82,282.21,11.88562349,12.80407179,,,
10/5/2019,447.3545,5.41,281.56,11.21009138,12.69074202,,,
10/6/2019,459.3713,3.21,279.86,12.15516339,12.82450487,,,
10/7/2019,454.0224,0.59,279.96,12.80062354,12.92571725,,,
10/8/2019,411.2691,5.29,283.02,10.18351916,12.57635815,,,
10/9/2019,419.5912,5.51,284.91,10.38988613,12.59793076,,,
10/10/2019,406.9702,6.39,284.05,9.829422449,12.51471342,,,
10/11/2019,393.3302,7.11,285.04,9.287367439,12.42857665,,,
10/12/2019,396.4913,5.68,288.31,9.697403658,12.51248749,,,
10/13/2019,368.1789,4.8,291.17,9.060850472,12.44662827,,,
10/14/2019,372.2098,1.4,290.22,9.943513424,12.61577732,,,
10/15/2019,381.1204,2.97,288.14,9.832328058,12.57531414,,,
10/16/2019,356.837,5.54,284.59,8.535990765,12.3540442,,,
10/17/2019,361.5493,4.33,287.18,8.938225248,12.43665344,,,
10/18/2019,349.9226,4.58,287.34,8.528890853,12.37153647,,,
10/19/2019,339.8972,4.23,284.78,8.287978319,12.34258564,,,
10/20/2019,329.2636,2.54,287.17,8.328530744,12.38440658,,,
10/21/2019,314.0779,1.66,286.16,8.036389448,12.35793244,,,
10/22/2019,317.5449,2.18,284.85,8.031289091,12.34689343,,,
10/23/2019,302.3598,2.86,285.18,7.424299737,12.23807226,,,
10/24/2019,288.3694,2.48,285.05,7.067754527,12.1874322,,,
10/25/2019,305.8448,4.44,286.01,7.253397809,12.18041661,,,
10/26/2019,304.1361,6.48,286.52,6.891841708,12.08111126,,,
10/27/2019,297.6879,5.62,283.66,6.820486186,12.08338663,,,
10/28/2019,300.7123,4.85,280.34,7.009220363,12.12856147,,,
10/29/2019,296.736,2.44,278.2,7.305422566,12.22446142,,,
10/30/2019,301.524,0.92,276.56,7.76948345,12.32954682,,,
10/31/2019,291.0693,1.9,274.83,7.224309412,12.22098897,,,
11/1/2019,274.9941,4.95,275.72,6.237550262,11.98743893,,,
11/2/2019,250.2637,5.57,283.13,5.500022503,11.83646051,,,
11/3/2019,255.7946,3.62,283.71,5.914401089,11.95912831,,,
11/4/2019,246.4611,2.64,281.65,5.775758632,11.95146325,,,
11/5/2019,239.1563,3.95,280.91,5.380192342,11.84381476,,,
11/6/2019,240.6629,3.24,280.37,5.515956288,11.88642827,,,
11/7/2019,233.9644,2.92,280.04,5.363985408,11.86182039,,,
11/8/2019,234.8458,1.02,279.52,5.668658463,11.96372981,,,
11/9/2019,219.8271,2.94,278.46,4.948350532,11.77189214,,,
11/10/2019,229.0957,1.56,276.56,5.403702663,11.89786474,,,
11/11/2019,225.8504,3.94,274.98,4.982887201,11.75536406,,,
11/12/2019,215.9699,4.41,276.62,4.663274158,11.67502046,,,
11/13/2019,211.3662,2.92,276.52,4.703989795,11.71678513,,,
11/14/2019,213.02,2.92,276.31,4.750020168,11.72703383,,,
11/15/2019,190.8968,6.87,278.39,3.795307578,11.41120946,,,
11/16/2019,187.1123,3.56,278.12,3.969458286,11.52683593,,,
11/17/2019,168.9316,3.94,278.11,3.457301229,11.38323559,,,
11/18/2019,165.3016,4.02,279.61,3.362969574,11.35686907,,,
11/19/2019,183.9325,4.37,277.67,3.810960845,11.46791748,,,
11/20/2019,175.2388,1.47,277.56,3.846869436,11.54182132,,,
11/21/2019,157.5432,2.68,280,3.263647568,11.35832357,,,
11/22/2019,165.3019,3.1,279.68,3.433467465,11.3963458,,,
11/23/2019,165.8953,6,279.27,3.243934172,11.28147867,,,
11/24/2019,164.9155,4.43,278.17,3.318981478,11.33437668,,,
11/25/2019,154.6606,2.77,277.43,3.174806769,11.32898436,,,
11/26/2019,147.8403,3.28,278.57,2.968093054,11.25841648,,,
11/27/2019,154.5514,5.26,278.35,3.010467299,11.2286793,,,
11/28/2019,154.102,7.57,281.13,2.889467217,11.15053669,,,
11/29/2019,156.04,7.44,276.86,2.923604212,11.15639257,,,
